arrival_info,stop_number,stop_name,stop_id,latitude,longitude
56分鐘,1,瑞湖街口,1149400220,25.067523,121.576485
進站中,2,麗寶大樓,1149100300,25.070424,121.58271
進站中,3,公館山,1149100000,25.071952,121.581177
進站中,4,瑞光路,1147400070,25.074746,121.5776
3分鐘,5,內湖運動中心,1144800300,25.07724,121.5755879
3分鐘,6,港墘派出所,1144800100,25.0787,121.57642
4分鐘,7,西湖圖書館(湖光教會),1144700020,25.078723,121.5785305
5分鐘,8,湖光國宅,1147500320,25.078356,121.5815972
6分鐘,9,捷運文德站(碧湖公園),1147500220,25.078401,121.5841327
7分鐘,10,內湖高中,1147500020,25.078703,121.5875658
9分鐘,11,方濟中學,1146000140,25.076435,121.5900771
10分鐘,12,將軍嶺,1147200240,25.073372,121.58972
12分鐘,13,三總內湖站,1149000100,25.071852,121.592095
16分鐘,14,國防醫學中心,1147200140,25.071037,121.5898699
18分鐘,15,內湖行政大樓,1146600160,25.06916,121.58832
19分鐘,16,三民國中,1146600060,25.06901,121.58556
20分鐘,17,時報廣場,1149401060,25.06856,121.5831298
21分鐘,18,民權大橋,1149400360,25.06702,121.5791
24分鐘,19,新益里,1059200140,25.062286,121.566155
26分鐘,20,民生國中,1059100040,25.059661,121.5679233
28分鐘,21,新東街口,1058900160,25.059272,121.5663967
30分鐘,22,三民路,1058200140,25.0575,121.5634
31分鐘,23,三民健康路口(西松高中),1058200040,25.055245,121.5635808
33分鐘,24,健康新城,1058600260,25.054217,121.5621625
34分鐘,25,長壽公園,1058600160,25.054069,121.559764
35分鐘,26,三軍總醫院松山分院,1056400060,25.053881,121.5578743
36分鐘,27,南京新村,1057900140,25.052778,121.5568095
進站中,28,博仁醫院,1056000040,25.04937,121.55774
3分鐘,29,光復路口,1055400060,25.048151,121.5567576
4分鐘,30,美仁里,1055400160,25.04821,121.553906
5分鐘,31,臺視,1055900061,25.048248,121.551437
7分鐘,32,市民敦化路口,1055700240,25.045271,121.548797
7分鐘,33,忠孝敦化路口,1069000140,25.041865,121.5487541
9分鐘,34,仁愛敦化路口,1068500140,25.039043,121.548697
12分鐘,35,信義敦化路口,1068100141,25.034123,121.5485022
13分鐘,36,信義大安路口,1068400060,25.033383,121.5461666
14分鐘,37,捷運大安站(信義),1068400260,25.033404,121.5438266
15分鐘,38,師大附中,1065800360,25.033382,121.542275
16分鐘,39,信義建國路口,1065800160,25.033595,121.538468
17分鐘,40,捷運大安森林公園站,1065600460,25.03355,121.5359159
18分鐘,41,信義新生路口,1065600360,25.033627,121.5331327
19分鐘,42,信義永康街口,1065100260,25.033765,121.5301447
20分鐘,43,捷運東門站,1005700060,25.034232,121.526986
22分鐘,44,信義杭州路口,1004800860,25.035417,121.5246296
24分鐘,45,中正紀念堂,1004800960,25.03739,121.52056
28分鐘,46,捷運台大醫院站,1004801100,25.041927,121.5163535
29分鐘,47,博物館(館前),1004700200,25.044177,121.5150573
31分鐘,48,臺北車站(忠孝),1004100720,25.046563,121.5156894
,1,臺北車站(公園),1004700340,25.043929,121.516775
,2,捷運台大醫院站,1004600040,25.041935,121.5161481
,3,中正紀念堂,1004800920,25.037153,121.520771
,4,信義杭州路口,1004800820,25.0357,121.5238361
,5,捷運東門站,1064100120,25.034134,121.5269937
,6,信義永康街口(捷運東門站),1065000320,25.033693,121.529727
,7,信義新生路口,1006100020,25.03353,121.5323283
,8,捷運大安森林公園站,1065600420,25.033496,121.5356316
,9,信義建國路口,1065800120,25.033441,121.539045
,10,捷運大安站(信義),1065800420,25.033323,121.5432319
,11,信義大安路口,1068300220,25.0332,121.5456
,12,信義敦化路口,1068100120,25.033262,121.548298
,13,仁愛國中,1068900100,25.035951,121.5490897
,14,安和敦化路口,1068900400,25.039761,121.5489579
,15,捷運忠孝敦化站,1069000200,25.043012,121.549174
,16,市民大道口,1055700000,25.045757,121.5491941
,17,臺視,1055900020,25.04807,121.5511
,18,美仁里,1055400120,25.048,121.55415
,19,榮民服務處,1056000100,25.048703,121.557946
,20,南京新村,1057900100,25.052989,121.556952
,21,三軍總醫院松山分院,1058600020,25.05367,121.55726
,22,長壽公園,1058600120,25.05381,121.55985
,23,健康新城,1058600220,25.053978,121.5626621
,24,三民健康路口(西松高中),1058200000,25.054814,121.5638473
,25,三民路,1058200100,25.05753,121.56368
,26,新東街口,1058900120,25.05902,121.5664423
,27,民生國中,1059400200,25.060189,121.5676949
,28,新益里,1059200100,25.062445,121.566269
,29,民權大橋,1149400320,25.066876,121.5794778
,30,時報廣場,1149401020,25.068084,121.5821211
,31,三民國中,1146600020,25.068803,121.5854057
,32,內湖行政大樓,1146600120,25.068934,121.5889192
,33,國防醫學中心,1147200100,25.07121,121.5900311
,34,三總內湖站,1149000200,25.071852,121.592095
,35,將軍嶺,1147200200,25.073809,121.5900167
,36,方濟中學,1146200000,25.076884,121.5902313
,37,內湖高中,1147500060,25.079013,121.5883097
,38,捷運文德站(碧湖公園),1147500260,25.078585,121.584249
,39,湖光國宅,1147300060,25.07859,121.58078
,40,西湖圖書館(湖光教會),1144700061,25.07889,121.578499
,41,港墘派出所,1144800240,25.078636,121.57619
,42,瑞光路,1149100230,25.074821,121.577343
,43,公館山,1149100040,25.071988,121.5809507
,44,麗寶大樓,1149100340,25.070391,121.582671
,45,瑞湖街口,1149400261,25.067659,121.576798
